name,final,return_pct,maxdd,trades,exits,win_rate,profit_exits,hard_stops,trail_stops,sma_exits,in_position_end
p6% hard5.0% trail12% rsi70,946.8362248635872,-0.053163775136412794,-0.22881228966572875,29,14,0.42857142857142855,6,7,1,0,True
p6% hard5.0% trail12% rsiNone,946.8362248635872,-0.053163775136412794,-0.22881228966572875,29,14,0.42857142857142855,6,7,1,0,True
p6% hard5.0% trail10% rsi65,945.8343950633831,-0.05416560493661693,-0.22881228966572886,29,14,0.42857142857142855,5,6,3,0,True
p12% hard7.5% trail10% rsi70,943.9290280175939,-0.05607097198240618,-0.28604409049062895,23,11,0.36363636363636365,2,3,6,0,True
p6% hard5.0% trail8% rsi65,943.2781372326328,-0.056721862767367126,-0.18506960991886523,31,15,0.4,4,3,8,0,True
p12% hard7.5% trail8% rsiNone,942.1186754211059,-0.05788132457889417,-0.28125315266640005,25,12,0.3333333333333333,2,2,8,0,True
p12% hard10.0% trail8% rsiNone,942.1186754211059,-0.05788132457889417,-0.28125315266640005,25,12,0.3333333333333333,2,0,10,0,True
p6% hard5.0% trail8% rsi60,939.9640803694734,-0.06003591963052657,-0.185069609918865,29,14,0.35714285714285715,4,3,7,0,True
p12% hard10.0% trail10% rsi70,937.5685579458988,-0.06243144205410123,-0.29015868106033815,23,11,0.36363636363636365,2,0,9,0,True
p8% hard7.5% trail8% rsi70,932.1159544781116,-0.06788404552188843,-0.2525804634279387,27,13,0.3076923076923077,3,0,10,0,True
p8% hard7.5% trail8% rsiNone,932.1159544781116,-0.06788404552188843,-0.2525804634279387,27,13,0.3076923076923077,3,0,10,0,True
p8% hard10.0% trail8% rsi70,932.1159544781116,-0.06788404552188843,-0.2525804634279387,27,13,0.3076923076923077,3,0,10,0,True
p8% hard10.0% trail8% rsiNone,932.1159544781116,-0.06788404552188843,-0.2525804634279387,27,13,0.3076923076923077,3,0,10,0,True
p10% hard5.0% trail8% rsi55,931.3549858079731,-0.06864501419202695,-0.17379639337607056,17,8,0.375,1,2,5,0,True
p8% hard5.0% trail8% rsi55,930.0163150191817,-0.0699836849808183,-0.1622439340226608,17,8,0.25,2,2,4,0,True
p12% hard7.5% trail10% rsiNone,929.6347061559968,-0.07036529384400314,-0.29077723257862154,23,11,0.36363636363636365,2,3,6,0,True
p6% hard5.0% trail8% rsi55,928.4251218279105,-0.07157487817208952,-0.15400045190529965,19,9,0.3333333333333333,3,2,4,0,True
p12% hard10.0% trail10% rsiNone,928.0982927464458,-0.07190170725355416,-0.2919493697234693,23,11,0.36363636363636365,2,0,9,0,True
p12% hard5.0% trail10% rsi70,928.0889648299847,-0.07191103517001529,-0.2973357635503422,23,11,0.2727272727272727,2,5,4,0,True
p6% hard7.5% trail8% rsi60,927.7829562966336,-0.07221704370336635,-0.2070668653714477,27,13,0.38461538461538464,4,0,9,0,True
p6% hard10.0% trail8% rsi60,927.7829562966336,-0.07221704370336635,-0.2070668653714477,27,13,0.38461538461538464,4,0,9,0,True
reentry drop5% timeout10,924.140632208782,-0.07585936779121805,-0.1935101764146927,12,6,0.3333333333333333,2,3,1,0,False
p10% hard7.5% trail8% rsiNone,922.1795340475699,-0.0778204659524302,-0.26337912508367656,27,13,0.3076923076923077,3,1,9,0,True
p10% hard10.0% trail8% rsiNone,922.1795340475699,-0.0778204659524302,-0.26337912508367656,27,13,0.3076923076923077,3,0,10,0,True
p10% hard7.5% trail8% rsi70,921.7084741095111,-0.07829152589048882,-0.2607540383103426,27,13,0.3076923076923077,3,1,9,0,True
p10% hard10.0% trail8% rsi70,921.7084741095111,-0.07829152589048882,-0.2607540383103426,27,13,0.3076923076923077,3,0,10,0,True
