name,final,cagr,maxdd,calmar,trades,exits,profit_exits,sector_exits,stop_exits,sma_exits
"CURRENT: TQQQ-only, no sector leadership filter",585.242389607237,0.5429985648960145,-0.3638415388356657,1.4924039916763534,165,82,49,0,3,29
Sector exit qqq_below_sma50; re-entry xlk_ratio_above_sma20,26.287109934270127,0.24921816757663118,-0.4088306111464465,0.6095878360912637,195,97,25,62,0,10
Sector exit xlk_ratio_below_sma50; re-entry xlk_above_sma50,21.850175311455324,0.23359697855168715,-0.31338073603525707,0.7454095025337045,273,136,9,118,0,9
Sector exit xlk_ratio_below_sma20; re-entry xlk_ratio_above_sma20,21.297164593238215,0.23144634059342506,-0.2792283157962664,0.8288784750694678,243,121,7,102,0,12
Sector exit xlk_ratio_below_sma50; re-entry no sector re-entry filter,20.842147092826472,0.229637403715516,-0.2903386622772358,0.790929468071469,353,176,10,152,0,14
Sector exit xlk_below_sma50; re-entry xlk_above_sma50,17.89830573575051,0.21695838576816784,-0.4940752458783022,0.4391201291262582,209,104,31,60,0,13
Sector exit xlk_below_sma50; re-entry xlk_ratio_above_sma20,17.87819946572718,0.216865283061221,-0.3699086241203575,0.5862671722697098,197,98,25,60,0,13
Sector exit xlk_ratio_below_sma50; re-entry qqq_above_sma20,16.74368661332959,0.21144705105768558,-0.26951281934539384,0.7845528519617683,257,128,9,111,0,8
Sector exit xlk_ratio_below_sma20; re-entry no sector re-entry filter,13.457215781392188,0.1935623642581521,-0.33735435838367256,0.5737657138492159,379,189,6,171,0,12
Sector exit xlk_below_sma50; re-entry xlk_above_sma20,13.23620312790953,0.19221776524405065,-0.602980648838578,0.3187793266903141,193,96,28,56,0,12
Sector exit qqq_below_sma50; re-entry xlk_above_sma20,12.940262987649529,0.19038417484682846,-0.5197681615005186,0.36628671963517045,189,94,29,52,0,12
Sector exit xlk_ratio_below_sma50; re-entry xlk_above_sma20,12.494174448130636,0.18754506795439463,-0.3442460373574122,0.5447994968775098,251,125,8,108,0,9
Sector exit xlk_below_sma20; re-entry xlk_above_sma50,11.723568190094355,0.18241025595442184,-0.4651761640678651,0.39213156228660456,249,124,20,93,0,11
Sector exit xlk_below_sma20; re-entry xlk_above_sma20,11.13406852099613,0.17826526143774957,-0.46938253627081505,0.37978673611090125,217,108,20,77,0,11
Sector exit qqq_below_sma50; re-entry qqq_above_sma20,9.458648738246382,0.16525831280682657,-0.5996698593871962,0.27558215611454,191,95,27,56,0,12
Sector exit xlk_below_sma20; re-entry qqq_above_sma20,8.714552053119291,0.15877761034941718,-0.48656181389577946,0.3263256708908665,227,113,19,83,0,11
Sector exit xlk_below_sma20; re-entry no sector re-entry filter,8.009095729144532,0.15213835413054144,-0.42353600410759984,0.35920996716938025,341,170,19,139,0,12
Sector exit xlk_below_sma50; re-entry qqq_above_sma20,7.420086455812345,0.14616338106667293,-0.5601629098992839,0.26093013029540424,191,95,26,57,0,12
Sector exit xlk_below_sma20; re-entry xlk_ratio_above_sma20,6.022776726696282,0.13000089226910228,-0.3946448486278441,0.3294123633467088,235,117,15,89,0,13
Sector exit xlk_ratio_below_sma20; re-entry xlk_above_sma20,5.7112526221943725,0.12592324057401605,-0.3269035730056692,0.3851999518274836,271,135,4,123,0,8
Sector exit xlk_ratio_below_sma20; re-entry xlk_above_sma50,5.08068477887488,0.11699270257958783,-0.33735435838367267,0.34679469724393536,299,149,3,139,0,7
