name,profit,hard_stop,trail,reentry_drop,timeout_days,rsi_max,recent_final,recent_return,recent_maxdd,recent_win_rate,recent_trades,full_multiple,full_cagr,full_maxdd,full_win_rate,full_trades,qqq_adx_min,require_qqq_ema21,max_early_score,vix_max,score
p8% h10.0% tr15% rsi60,0.08,0.1,0.15,0.03,3,60.0,727.4271737491358,-0.2725728262508642,-0.3607029906589563,0.3333333333333333,19,20.608759435073907,0.21231723230125432,-0.5028184973230454,0.653179190751445,347,,,,,-0.42753145465255343
p8% h10.0% tr15% rsi70,0.08,0.1,0.15,0.03,3,70.0,765.4059434042756,-0.2345940565957244,-0.39593245849472536,0.4,21,31.335504890183632,0.24507757672764563,-0.48598435983023425,0.654639175257732,389,,,,,-0.33907390111996777
p8% h10.0% tr15% rsiNone,0.08,0.1,0.15,0.03,3,,765.4059434042756,-0.2345940565957244,-0.39593245849472536,0.4,21,77.75264681631707,0.3192003341784406,-0.4187619322181916,0.6682464454976303,423,,,,,-0.21651537837299242
p10% h7.5% tr12% rsi60,0.1,0.075,0.12,0.03,3,60.0,773.5565245395991,-0.2264434754604009,-0.3292202340417175,0.3,21,53.419625346031395,0.2880649362622332,-0.459586395157763,0.5363128491620112,359,,,,,-0.1912767006185722
p10% h7.5% tr12% rsi70,0.1,0.075,0.12,0.03,3,70.0,810.0955530553009,-0.1899044469446991,-0.34572114995749337,0.3333333333333333,25,34.8717466272975,0.2535778504470614,-0.5160753439948891,0.5288461538461539,417,,,,,-0.20432853689971364
p10% h7.5% tr12% rsiNone,0.1,0.075,0.12,0.03,3,,810.5095706886012,-0.1894904293113988,-0.34804451571710215,0.3333333333333333,25,51.672094650589344,0.2853417149582711,-0.4882174082209745,0.5283018867924528,425,,,,,-0.1537782620923129
p10% h7.5% tr15% rsi60,0.1,0.075,0.15,0.03,3,60.0,835.180462771781,-0.16481953722821907,-0.32922023404171763,0.3333333333333333,19,61.44405916667468,0.2995867528662324,-0.46115286482507,0.5739644970414202,339,,,,,-0.054985879063063126
p10% h7.5% tr15% rsi70,0.1,0.075,0.15,0.03,3,70.0,882.5956644463112,-0.11740433555368879,-0.3585814684994607,0.36363636363636365,23,35.17242833093247,0.2542628904306268,-0.5027869487557297,0.5495049504950495,405,,,,,-0.06472238705980221
p10% h7.5% tr15% rsiNone,0.1,0.075,0.15,0.03,3,,883.0467348993919,-0.1169532651006081,-0.3608591668440886,0.36363636363636365,23,28.79103550337519,0.23838604481589654,-0.5170150280814905,0.5432692307692307,417,,,,,-0.09226419889882538
p10% h10.0% tr12% rsi60,0.1,0.1,0.12,0.03,3,60.0,853.1291952389347,-0.1468708047610653,-0.2663517674510394,0.375,17,36.18677759990278,0.2565340966975336,-0.45117395301033103,0.5654761904761905,337,,,,,-0.0028936790331463846
p10% h10.0% tr12% rsi70,0.1,0.1,0.12,0.03,3,70.0,898.2891956788234,-0.10171080432117663,-0.2882501675554153,0.4,21,39.607055607893635,0.2637760164718621,-0.47356102880419515,0.5618556701030928,389,,,,,0.06302468757451718
p10% h10.0% tr12% rsiNone,0.1,0.1,0.12,0.03,3,,898.7482866655741,-0.10125171333442584,-0.29077761466760843,0.4,21,65.49906469564105,0.3048824973029953,-0.4507539418867528,0.5572139303482587,403,,,,,0.12214674289190669
p10% h10.0% tr15% rsi60,0.1,0.1,0.15,0.03,3,60.0,759.087231316275,-0.2409127686837249,-0.33287865188161836,0.2857142857142857,15,31.03172140965041,0.24430599613370552,-0.5281987356159787,0.6193548387096774,311,,,,,-0.3106906032884621
p10% h10.0% tr15% rsi70,0.1,0.1,0.15,0.03,3,70.0,794.7235966674347,-0.20527640333256536,-0.37030926177359225,0.375,17,35.57578489842574,0.2551732916501237,-0.4516356426066933,0.6114285714285714,351,,,,,-0.2255261813537724
p10% h10.0% tr15% rsiNone,0.1,0.1,0.15,0.03,3,,795.1297581151545,-0.2048702418848456,-0.37254531433779015,0.375,17,38.51857467140749,0.261537043559084,-0.41411933412681323,0.5989010989010989,365,,,,,-0.2005552544918383
p12% h7.5% tr12% rsi60,0.12,0.075,0.12,0.03,3,60.0,778.310797587935,-0.22168920241206502,-0.3278515390349074,0.2222222222222222,19,35.351699733213756,0.2546687178411686,-0.4595863951577631,0.484472049689441,323,,,,,-0.22047492162036783
